04.12.2018 19:56:44         rationAll
     ,                  ,Компонент ,0        ,1              ,2                 ,3             ,4        ,5      ,6        ,7       ,8         ,9               ,10                ,11    ,12         ,13    ,14         ,15    ,16         ,17      ,18      ,19      ,20      ,21      ,22     ,23      ,24     ,25    ,26    ,27     ,28        ,29  ,30      ,31         ,32          ,33      ,34      ,35          ,36         ,37         ,38            ,39        ,40            ,41     ,42       ,43          ,44      ,45      ,46      ,47       ,48       ,49       ,50      ,51        ,52       ,53    ,54      ,55     ,56      ,57        ,58     ,59     ,60         ,61       ,62    ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 ,100 ,101 ,102 ,103 ,104 ,105 ,106 ,107 ,108 ,109 ,110 ,111 ,112 ,113 ,114 ,115 ,116 ,117 ,118 ,119 ,120 ,121 ,122 ,123 ,124 ,125 ,126 ,127 ,128 ,129 ,130 ,131 ,132 ,133 ,134 ,135 ,136 ,137 ,138 ,139 ,140 ,141 ,142 ,143 ,144 ,145 ,146 ,147 ,148 ,149 ,150
9    ,ШротРапс          ,кг.       ,18.300   ,0.900          ,1.000             ,0.360         ,0.200    ,10.350 ,2.472    ,6.390   ,1.526     ,0.108           ,                  ,0.270 ,           ,0.162 ,           ,      ,           ,0.017   ,94.500  ,28.800  ,67.500  ,7.560   ,9.810  ,0.090   ,12.330 ,      ,      ,       ,          ,    ,        ,0.947      ,15.500      ,        ,        ,1.000       ,1.000      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,4.500   ,0.360   ,145.800 ,62.100   ,42.300   ,5.400    ,        ,0.092     ,854.100  ,0.141 ,153.900 ,       ,        ,66.600    ,27.000 ,       ,           ,         ,0.085 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
10   ,Шрот подсол       ,кг.       ,11.500   ,0.900          ,1.000             ,0.333         ,0.175    ,8.910  ,2.128    ,5.940   ,1.418     ,0.170           ,                  ,0.356 ,           ,0.171 ,           ,0.053 ,           ,17.100  ,73.800  ,43.200  ,63.000  ,4.320   ,10.440 ,0.270   ,15.750 ,      ,      ,       ,          ,    ,        ,0.957      ,15.065      ,        ,        ,1.000       ,1.000      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,5.310   ,0.270   ,160.200 ,42.300   ,81.000   ,34.200   ,0.090   ,0.082     ,782.100  ,0.122 ,145.800 ,       ,130.500 ,          ,24.300 ,       ,           ,         ,0.149 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
11   ,Глютен 18%        ,кг.       ,10.000   ,0.900          ,1.000             ,0.171         ,0.184    ,11.610 ,2.772    ,7.200   ,1.719     ,0.099           ,                  ,0.455 ,           ,0.171 ,           ,0.053 ,           ,18.000  ,33.300  ,82.800  ,48.600  ,0.270   ,7.290  ,4.230   ,12.420 ,      ,      ,       ,          ,    ,        ,1.023      ,10.227      ,        ,        ,1.000       ,1.000      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,3.420   ,4.230   ,81.000  ,17.100   ,54.000   ,5.760    ,0.270   ,0.084     ,1136.700 ,0.175 ,        ,57.600 ,        ,          ,       ,2.790  ,           ,         ,0.113 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
12   ,Глютен61%         ,кг.       ,64.000   ,0.900          ,1.000             ,0.558         ,0.406    ,13.410 ,3.202    ,8.280   ,1.977     ,0.008           ,                  ,0.099 ,           ,0.045 ,           ,0.009 ,           ,52.200  ,        ,198.000 ,13.500  ,0.720   ,4.500  ,        ,       ,      ,      ,       ,          ,    ,        ,0.978      ,52.660      ,        ,        ,0.978       ,0.978      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,        ,        ,        ,         ,         ,         ,        ,0.283     ,1096.200 ,0.438 ,59.400  ,       ,        ,          ,28.800 ,       ,           ,         ,0.079 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
13   ,Овес              ,кг.       ,9.000    ,0.890          ,1.000             ,0.099         ,         ,10.057 ,2.402    ,6.141   ,1.466     ,0.093           ,                  ,0.285 ,           ,0.160 ,           ,      ,           ,36.490  ,25.810  ,331.080 ,35.600  ,1.513   ,4.806  ,0.089   ,7.565  ,      ,      ,       ,          ,    ,        ,1.000      ,6.000       ,        ,        ,1.000       ,1.000      ,           ,0.890         ,          ,              ,       ,0.890    ,            ,        ,0.089   ,154.860 ,54.290   ,37.380   ,6.230    ,        ,0.020     ,930.050  ,0.069 ,14.240  ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
14   ,                  ,          ,         ,               ,                  ,              ,         ,       ,         ,        ,          ,                ,                  ,      ,           ,      ,           ,      ,           ,        ,        ,        ,        ,        ,       ,        ,       ,      ,      ,       ,          ,    ,        ,           ,            ,        ,        ,            ,           ,           ,              ,          ,              ,       ,         ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
15   ,Защжир 99.9% Умка ,кг.       ,110.000  ,0.970          ,1.000             ,              ,         ,38.850 ,9.000    ,27.000  ,6.450     ,                ,                  ,      ,           ,      ,           ,      ,           ,960.300 ,        ,        ,        ,9.700   ,       ,        ,       ,      ,      ,       ,          ,    ,1.000   ,           ,            ,        ,        ,1.000       ,1.000      ,           ,0.970         ,          ,              ,       ,0.970    ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
16   ,ЗЖ 84% Мегалак    ,кг.       ,61.000   ,0.950          ,1.000             ,              ,         ,31.587 ,7.543    ,25.935  ,6.193     ,                ,                  ,      ,           ,      ,           ,      ,           ,798.000 ,        ,        ,118.750 ,85.500  ,       ,        ,       ,      ,      ,       ,          ,    ,1.000   ,           ,            ,        ,        ,1.000       ,1.000      ,           ,0.950         ,          ,              ,       ,0.950    ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
17   ,Защ жир 99 Голови ,          ,53.000   ,0.950          ,1.000             ,              ,         ,32.000 ,7.500    ,26.000  ,6.200     ,                ,                  ,      ,           ,      ,           ,      ,           ,798.000 ,        ,        ,120.000 ,85.000  ,       ,        ,       ,      ,      ,       ,          ,    ,1.000   ,           ,            ,        ,        ,1.000       ,1.000      ,           ,0.950         ,          ,              ,       ,0.950    ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
18   ,ЗЖ 84% Нутракор   ,кг.       ,70.000   ,0.970          ,1.000             ,              ,         ,29.071 ,6.942    ,23.833  ,5.691     ,                ,                  ,      ,           ,      ,           ,      ,           ,814.800 ,        ,        ,97.000  ,90.000  ,       ,        ,       ,      ,      ,       ,          ,    ,1.000   ,           ,            ,        ,        ,1.000       ,1.000      ,           ,0.970         ,          ,              ,       ,0.970    ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
